time, Quad.Est.E.Pos, Quad.Est.S.Z
1.425011,0.079604,0.325242
1.430011,0.079575,0.325362
1.435011,0.079767,0.325544
1.440011,0.079877,0.325666
1.445011,0.080085,0.325850
1.450012,0.080223,0.325972
1.455012,0.080429,0.326158
1.460012,0.080563,0.326282
1.465012,0.080768,0.326469
1.470013,0.080783,0.326594
1.475013,0.080952,0.326783
1.480013,0.080995,0.326909
1.485013,0.081148,0.327100
1.490014,0.081336,0.327228
1.495014,0.081505,0.327420
1.500014,0.081708,0.327549
1.505014,0.085527,0.326408
1.510015,0.085730,0.326526
1.515015,0.086077,0.326704
1.520015,0.086429,0.326824
1.525015,0.086753,0.327003
1.530015,0.086912,0.327124
1.535016,0.087258,0.327305
1.540016,0.087467,0.327426
1.545016,0.087835,0.327609
1.550016,0.088085,0.327732
1.555017,0.088459,0.327917
1.560017,0.088597,0.328040
1.565017,0.088921,0.328227
1.570017,0.089249,0.328352
1.575018,0.089606,0.328540
1.580018,0.089734,0.328666
1.585018,0.090068,0.328855
1.590018,0.090233,0.328983
1.595019,0.090558,0.329174
1.600019,0.090985,0.329302
1.605019,0.132134,0.328163
1.610019,0.132576,0.328280
1.615019,0.133315,0.328458
1.620020,0.133811,0.328577
1.625020,0.134553,0.328756
1.630020,0.135049,0.328876
1.635020,0.135793,0.329057
1.640021,0.136294,0.329178
1.645021,0.137034,0.329360
1.650021,0.137511,0.329482
1.655021,0.138234,0.329666
1.660022,0.138648,0.329789
1.665022,0.139343,0.329975
1.670022,0.139805,0.330100
1.675022,0.140501,0.330287
1.680022,0.141075,0.330412
1.685023,0.141793,0.330601
1.690023,0.142210,0.330728
1.695023,0.142918,0.330919
1.700023,0.143408,0.331047
1.705024,0.117580,0.329908
1.710024,0.117960,0.330026
1.715024,0.118556,0.330202
1.720024,0.118969,0.330321
1.725025,0.119562,0.330500
1.730025,0.119987,0.330619
1.735025,0.120565,0.330799
1.740025,0.120947,0.330920
1.745026,0.121528,0.331102
1.750026,0.121910,0.331223
1.755026,0.122485,0.331407
1.760026,0.122852,0.331529
1.765026,0.123419,0.331714
1.770027,0.123818,0.331838
1.775027,0.124391,0.332025
1.780027,0.124790,0.332150
1.785027,0.125366,0.332338
1.790028,0.125856,0.332464
1.795028,0.126450,0.332654
1.800028,0.126764,0.332782
1.805028,0.129640,0.331645
1.810029,0.129834,0.331762
1.815029,0.130364,0.331938
1.820029,0.130694,0.332056
1.825029,0.131228,0.332234
1.830029,0.131551,0.332353
1.835030,0.132097,0.332533
1.840030,0.132469,0.332653
1.845030,0.133005,0.332834
1.850030,0.133346,0.332955
1.855031,0.133863,0.333138
1.860031,0.134251,0.333260
1.865031,0.134787,0.333445
1.870031,0.135101,0.333568
1.875032,0.135625,0.333754
1.880032,0.135836,0.333878
1.885032,0.136331,0.334066
1.890032,0.136498,0.334192
1.895033,0.136963,0.334381
1.900033,0.137189,0.334507
1.905033,0.119027,0.333373
1.910033,0.118782,0.333489
1.915033,0.118876,0.333665
1.920034,0.118949,0.333783
1.925034,0.119040,0.333960
1.930034,0.119085,0.334079
1.935034,0.119179,0.334258
1.940035,0.119238,0.334377
1.945035,0.119335,0.334558
1.950035,0.119414,0.334678
1.955035,0.119530,0.334860
1.960036,0.119555,0.334982
1.965036,0.119647,0.335166
1.970036,0.119658,0.335289
1.975036,0.119736,0.335474
1.980036,0.119586,0.335598
1.985037,0.119620,0.335785
1.990037,0.119946,0.335910
1.995037,0.120036,0.336098
2.000037,0.119803,0.336224
2.005037,0.120517,0.335092
2.010037,0.120622,0.335208
2.015036,0.120428,0.335383
